Ciqual  AGB,Ciqual  code,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Œuf de poule,0.035206088,0.19688337,9.1380495e-9,0.02060525,0.00054976689,3.9970415e-8,3.47491e-9,2.1972114e-10,0.0057183596,0.000051777033,0.0012498943,0.025020984,5.3134027,14.103354,0.29783697,1.1181495,6.7504926e-7
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Fromage frais crémeux,0.02015176,0.19528822,5.535499e-9,0.0266633,0.0003330624,1.4517355e-8,2.7845083e-9,1.3259513e-10,0.0021402174,0.000027431286,0.00067555427,0.0090079459,2.13008758,10.753579,0.038168932,0.98974598,0.0000018156349
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Poire,0.025117968,0.04959907,8.965407e-9,0.012111402,0.00032504274,5.4284806e-9,1.6139996e-9,1.2726139e-10,0.00072221885,0.000010232791,0.0002413851,0.003080233,1.41456908,5.8252985,2.305382,0.78227867,7.1486279e-7
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Farine de blé,0.012084927,0.086218886,5.5185208e-9,0.0089142962,0.00026211718,8.6909975e-9,5.4286184e-10,1.3791759e-10,0.001341913,0.000019833572,0.00090305113,0.0057945428,1.7277540900000001,11.738575,0.039131019,0.61246497,4.0686808e-7
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Sucre blanc,0.014463013,0.06529119,4.9588948e-9,0.0039597939,0.00025829184,1.473839e-8,7.4725772e-10,5.136143e-11,0.0021208052,0.000017610541,0.00067798336,0.0090455937,1.03931415,4.0169343,0.27846796,0.66140119,5.4501046e-7
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Autres étapes,0.06392436600000001,0.57080116,4.8022443000000004e-8,0.503840874,0.00135351174,2.7164473600000003e-8,5.6699188e-9,2.03575332e-10,0.0023502001,0.000047162521999999995,0.0011454129999999999,0.006478334799999999,1.97024938,4.285106799999999,0.26152009200000004,18.3685203,0.00000182448441
23490,23490,produits céréaliers,gâteaux et pâtisseries,Tarte ou tartelette aux pommes,Apple tart,Beurre,0.08427513,0.89789615,2.0527432e-8,0.062644585,0.0014634827,6.8795997e-8,1.1775207e-8,4.9816349e-10,0.01018893,0.000098526415,0.0032905254,0.044295744,10.0276362,53.167973,0.29127299,2.6122925,0.0000022676354
23490,23490,produits céréaliers,gâteaux et pâtisseries,Tarte ou tartelette aux pommes,Apple tart,Pomme de table,0.027499187,0.098993398,1.7950995e-8,0.013927351,0.00049219499,7.9213492e-9,2.108711e-9,1.7307708e-10,0.00084304522,0.00001521136,0.00036314486,0.0041389019,5.415417,9.084332,1.8985191,1.1496872,0.0000011564536
23490,23490,produits céréaliers,gâteaux et pâtisseries,Tarte ou tartelette aux pommes,Apple tart,Farine de blé,0.012353481,0.088134862,5.6411546e-9,0.0091123917,0.00026794201,8.8841308e-9,5.5492544e-10,1.4098243e-10,0.0013717333,0.000020274318,0.00092311893,0.0059233104,1.76614866,11.999432,0.040000597,0.6260753,4.159096e-7
23490,23490,produits céréaliers,gâteaux et pâtisseries,Tarte ou tartelette aux pommes,Apple tart,Sucre blanc,0.0081995032,0.037015478,2.8113419e-9,0.0022449225,0.00014643317,8.3556229e-9,4.2364217e-10,2.9118291e-11,0.0012023462,0.0000099839287,0.00038436852,0.0051282106,0.58921747,2.2773171,0.1578716,0.37496761,3.0898231e-7
23490,23490,produits céréaliers,gâteaux et pâtisseries,Tarte ou tartelette aux pommes,Apple tart,Autres étapes,0.06395483299999999,0.57082896,4.8024335000000005e-8,0.503850994,0.00135360587,2.71659895e-8,5.6713096e-9,2.03692212e-10,0.0023503576,0.000047182925,0.00114544339,0.006478623100000001,1.97036283,4.2852163999999995,0.265214545,18.3690063,0.00000182462439
23480,23480,produits céréaliers,pains et viennoiseries,Chausson aux pommes,Apple turnover,Beurre,0.12717883,1.3550069,3.0977762e-8,0.094536374,0.0022085285,1.0381941e-7,1.7769858e-8,7.5177399e-10,0.015376021,0.00014868532,0.004965702,0.066846305,15.132615,80.235305,0.43955742,3.9421868,0.000003422068
23480,23480,produits céréaliers,pains et viennoiseries,Chausson aux pommes,Apple turnover,Pomme de table,0.02362285,0.085039105,1.5420589e-8,0.011964126,0.00042281427,6.8047411e-9,1.8114631e-9,1.4867981e-10,0.000724208,0.000013067138,0.00031195528,0.0035554746,4.6520498,7.8037877,1.6309003,0.98762516,9.9343778e-7
23480,23480,produits céréaliers,pains et viennoiseries,Chausson aux pommes,Apple turnover,Farine de blé,0.013785768,0.098353396,6.2952015e-9,0.010168901,0.00029900775,9.9141749e-9,6.1926462e-10,1.5732822e-10,0.0015307749,0.000022624964,0.0010301472,0.0066100711,1.9709195099999999,13.390671,0.044638347,0.69866375,4.64131e-7
23480,23480,produits céréaliers,pains et viennoiseries,Chausson aux pommes,Apple turnover,Sucre blanc,0.008689195700000001,0.039226125,2.9792415e-9,0.0023789943,0.00015517849,8.8546393e-9,4.4894302e-10,3.08573e-11,0.001274153,0.000010580191,0.00040732386,0.0054344787,0.62440685,2.4133235,0.16730004,0.39736151,3.2743542e-7
23480,23480,produits céréaliers,pains et viennoiseries,Chausson aux pommes,Apple turnover,Autres étapes,0.059903779000000004,0.55618049,4.6462404e-8,0.441142447,0.00131971909,2.65268522e-8,5.4957137e-9,1.91985821e-10,0.0022840111000000003,0.00004350603,0.00113109332,0.0063637267999999995,1.90952002,4.2211818999999995,0.23936166600000003,16.9253109,0.0000014281282500000001
23494,23494,produits céréaliers,gâteaux et pâtisseries,Tarte aux abricots,Apricots tart,Abricot,0.042239868,0.16689403,1.8872623e-8,0.018276094,0.0010244701,2.8428749e-8,4.1974393e-9,1.1545497e-9,0.0037804273,0.000058976783,0.00038884571,0.015699491,21.201976300000002,28.520883,0.71362944,1.9074618,0.0000025595428
